cod,fam,sp,dbh,inclin,ori,h,bark_detailed,bark_simp,Y,X,Z,orch_presence,moss_presence
49,Cyatheaceae,Cyathea.peladensis,2.6,39.0,168.0,1.9,estriada,estriada,710850.952,9558917.100,2283.424,0,1
50,Rubiaceae,Palicourea.angustifolia,4.1,60.0,140.0,4.4,lisa,lisa,710853.256,9558917.732,2282.413,0,1
51,Rubiaceae,Palicourea.angustifolia,1.8,28.0,90.0,1.0,lisa,lisa,710858.660,9558906.873,2279.229,0,1
52,Lauraceae,Endlicheria.sp3,1.8,84.0,68.0,1.8,lisa,lisa,710860.192,9558907.255,2279.219,0,1
53,Euphorbiaceae,Hyeronima.asperifolia,13.3,90.0,0.0,8.0,estriada,estriada,710861.159,9558906.487,2278.998,0,1
54,Symplocaceae,Symplocos.fuscata,12.7,90.0,0.0,8.1,estriada,estriada,710861.146,9558907.190,2279.145,0,1
56,Rubiaceae,Elaeagia.karstenii,3.0,14.0,94.0,3.9,estriada,estriada,710860.573,9558904.545,2278.649,0,1
58,Melastomataceae,Miconia.sp11,1.5,68.0,0.0,2.5,lisa,lisa,710859.980,9558908.614,2279.481,0,1
62,Lauraceae,Endlicheria.sp1,1.8,39.0,96.0,1.4,lisa,lisa,710860.828,9558909.880,2279.300,0,1
63,Mimosaceae,Abarema.killipii,3.1,90.0,0.0,1.3,lisa,lisa,710862.053,9558909.803,2279.166,0,1
64,Euphorbiaceae,Hyeronima.moritziana,2.4,90.0,0.0,4.2,lisa,lisa,710863.052,9558910.813,2278.642,0,1
65,Rubiaceae,Elaeagia.karstenii,1.6,90.0,0.0,1.2,lisa,lisa,710862.794,9558910.732,2281.649,0,1
67,Melastomataceae,Miconia.sp12,6.9,39.0,104.0,3.5,lisa,lisa,710862.543,9558909.599,2278.476,0,1
70,Myrsinaceae,Geissanthus.cf.ecuadorensis,30.0,42.0,180.0,9.5,pustulas,pustulas,710857.041,9558909.190,2280.139,0,1
71,Aquifoliaceae,Ilex.hippocrateoides,7.4,73.0,138.0,8.0,lisa,lisa,710857.034,9558913.541,2281.470,0,1
73,Melastomataceae,Meriania.rigida,14.8,90.0,0.0,4.5,estriada,estriada,710856.639,9558912.876,2280.425,0,1
74,Lauraceae,Aniba.sp,1.7,90.0,0.0,2.3,lisa,lisa,710856.917,9558913.345,2281.238,0,1
75,Liana,Liana,2.5,47.0,238.0,4.7,estriada,estriada,710857.023,9558915.207,2281.087,0,1
76,Lauraceae,Aniba.sp,3.3,65.0,150.0,7.0,lisa,lisa,710856.946,9558913.581,2281.209,0,1
77,Araliaceae,Schefflera.sp2,4.4,69.0,206.0,4.2,lisa,lisa,710857.055,9558913.500,2281.570,0,1
78,Myrsinaceae,Geissanthus.cf.ecuadorensis,4.5,60.0,50.0,4.1,lisa,lisa,710857.139,9558913.722,2281.335,0,1
83,Rubiaceae,Palicourea.angustifolia,4.5,37.0,168.0,1.4,lisa,lisa,710857.327,9558910.679,2280.186,0,1
84,Clusiaceae,Tovomita.weddelliana,2.5,90.0,0.0,2.4,lisa,lisa,710856.935,9558910.761,2280.354,0,1
85,Lauraceae,Beilschmiedia.sp1,3.5,90.0,0.0,3.8,lisa,lisa,710857.044,9558912.131,2280.537,0,1
87,Moraceae,Helicostylis.tovarensis,2.8,39.0,190.0,2.4,lisa,lisa,710858.290,9558911.381,2280.395,0,1
89,Myrtaceae,Myrcianthes.sp,1.7,13.0,158.0,2.1,lisa,lisa,710859.234,9558903.809,2280.415,0,1
90,Liana,Liana,2.8,69.0,324.0,2.3,lisa,lisa,710859.292,9558903.443,2280.364,0,1
91,Rubiaceae,Palicourea.cf.jaramilloi,2.0,43.0,205.0,1.4,lisa,lisa,710859.578,9558903.188,2280.321,0,1
92,Arboles.muertos,arbol.muerto,10.5,40.0,248.0,1.4,lisa,lisa,710860.563,9558905.461,2281.444,0,1
93,Ericaceae,Cavendishia.sp1,2.0,-40.0,180.0,0.6,lisa,lisa,710860.708,9558907.296,2281.608,0,1
95,Clusiaceae,Tovomita.weddelliana,1.3,69.0,70.0,1.4,lisa,lisa,710859.247,9558908.906,2281.183,0,1
96,Lauraceae,Beilschmiedia.tovarensis,1.2,90.0,0.0,1.7,lisa,lisa,710858.852,9558907.933,2280.935,0,1
98,Clusiaceae,Tovomita.weddelliana,1.0,78.0,76.0,1.8,lisa,lisa,710853.728,9558900.138,2279.135,0,1
99,Melastomataceae,Miconia.sp12,1.7,25.0,98.0,1.6,lisa,lisa,710855.315,9558898.959,2279.073,0,1
100,Melastomataceae,Miconia.sp1,1.8,49.0,142.0,2.8,lisa,lisa,710855.580,9558898.347,2279.273,0,1
102,Lauraceae,Aniba.sp,2.4,90.0,0.0,2.4,lisa,lisa,710853.671,9558897.558,2279.330,0,1
103,Lauraceae,Nectandra.laurel,1.6,76.0,90.0,2.9,lisa,lisa,710853.043,9558898.541,2279.025,0,1
105,Ericaceae,Cavendishia.bracteata,2.0,50.0,234.0,1.8,estriada,estriada,710858.038,9558898.224,2278.921,0,1
107,Arboles.muertos,arbol.muerto,25.5,72.0,130.0,2.3,lisa,lisa,710858.046,9558896.644,2279.286,0,1
108,Melastomataceae,Miconia.sp1,1.3,74.0,154.0,1.8,lisa,lisa,710853.234,9558897.077,2279.311,0,1
110,Celastraceae,Maytenus.sp1,2.9,90.0,0.0,3.9,estriada,estriada,710852.648,9558895.824,2279.129,0,1
111,Ericaceae,Cavendishia.bracteata,2.3,86.0,76.0,1.8,estriada,estriada,710857.419,9558897.178,2278.910,0,1
112,Ericaceae,Cavendishia.bracteata,2.8,69.0,20.0,4.0,estriada,estriada,710857.449,9558896.652,2278.998,0,1
113,Rubiaceae,Elaeagia.karstenii,1.2,31.0,125.0,1.4,lisa,lisa,710849.798,9558904.627,2281.672,0,1
115,Rubiaceae,Elaeagia.karstenii,1.5,76.0,260.0,1.9,lisa,lisa,710848.766,9558904.364,2282.004,0,1
117,Rubiaceae,Elaeagia.karstenii,1.1,90.0,360.0,1.6,estriada,estriada,710848.740,9558904.707,2282.143,0,1
118,Myrtaceae,Myrcia.sp,3.9,80.0,160.0,5.2,lisa,lisa,710849.683,9558903.574,2281.495,0,1
119,Lauraceae,Ocotea.sp,3.6,50.0,120.0,3.5,estriada,estriada,710847.629,9558904.093,2282.595,0,1
120,Piperaceae,Piper.sp1,4.0,4.0,202.0,5.6,lisa,lisa,710847.586,9558904.538,2282.700,0,1
